# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1926.8000 M43 221711 3 645.8000 grid0127 grid0137 289 N grid0127->grid0132->grid0135->grid0137
2215.3000 M47 234776 3 804.3000 grid12160 grid12166 286 N grid12160->grid12159->grid12155->grid12166
2234.1000 M50 226458 2 736.1000 grid10121 grid10115 287 N grid10121->grid10112->grid10115
2242.9000 M55 178171 2 596.9000 grid10101 grid10100 290 N grid10101->grid10112->grid10100
2705.0000 M91 248996 1 1.0000 grid11135 grid11146 299 N grid11135->grid11146
3152.4000 M82 211477 2 709.4000 grid0397 grid0377 288 N grid0397->grid0383->grid0377
3184.3000 M67 185199 3 1187.3000 grid0274 grid0257 280 N grid0274->grid0268->grid0259->grid0257
3203.0000 M64 196950 2 1295.0000 grid0382 grid0381 278 N grid0382->grid0385->grid0381
3413.2000 M92 212938 3 679.2000 grid0020 grid0023 288 N grid0020->grid009->grid005->grid0023
3454.1000 M98 246931 3 545.1000 grid0387 grid0377 290 N grid0387->grid0386->grid0379->grid0377
3464.0000 M71 240133 2 1347.0000 grid0018 grid002 277 N grid0018->grid0023->grid002
4114.2000 M84 202575 2 1616.2000 grid0139 grid0143 273 N grid0139->grid0147->grid0143
4851.8000 M136 158655 2 823.8000 grid0393 grid0378 286 N grid0393->grid0380->grid0378
5130.6000 M158 177730 2 448.6000 grid11143 grid11145 292 N grid11143->grid11136->grid11145
5188.4000 M74 175916 4 2989.4000 grid11148 grid11126 250 N grid11148->grid11134->grid11142->grid11144->grid11126
5211.4000 M167 199317 2 262.4000 grid10111 grid10102 295 N grid10111->grid10106->grid10102
5264.6000 M141 152788 4 1090.6000 grid0377 grid0390 281 N grid0377->grid0396->grid0379->grid0398->grid0390
5436.8000 M69 174614 4 3382.8000 grid0128 grid0262 243 N grid0128->grid0142->s01405->grid0264->grid0262
5457.1000 M123 239169 1 1830.1000 grid0272 grid0264 269 N grid0272->grid0264
5476.0000 M133 216759 2 1542.0000 grid0263 grid0270 274 N grid0263->grid0254->grid0270
5872.6000 M182 186202 2 477.6000 grid0127 grid0130 292 N grid0127->grid0133->grid0130
